"","d_r","rec_type","id","sex","age","race","Cons","Empower","NACH","LOC","teamwork","g","perf_fnl"
"60","","SCALE1","280624",1,38,1,3.83333333333333,3.14285714285714,2.4,3.22222222222222,3.11111111111111,4.5,5.75
"61","","SCALE1","282669",1,38,2,4.5,4.14285714285714,3,3.66666666666667,4.11111111111111,4,5.75
"62","","SCALE1","280786",1,27,1,5,3.85714285714286,2.7,3.66666666666667,3.44444444444444,8,5.75
"63","","SCALE1","275748",1,26,1,5,4.71428571428571,3.9,2.5,2.5,7.5,5.75
"64","","SCALE1","279680",2,27,1,4.83333333333333,4.42857142857143,2.6,2.77777777777778,3.88888888888889,7.5,5.77777777777778
"65","","SCALE1","299383",1,50,1,4,3.85714285714286,3,3.33333333333333,3.66666666666667,5.5,5.77777777777778
"66","","SCALE1","288487",1,31,2,4.16666666666667,4.57142857142857,3.4,4.22222222222222,4.33333333333333,5,5.77777777777778
"67","","SCALE1","283724",2,29,1,4.16666666666667,3.71428571428571,2.4,3,4.11111111111111,6.5,5.875
"68","","SCALE1","287844",2,24,2,4,3.85714285714286,2.1,3.11111111111111,4.11111111111111,8,5.875
"69","","SCALE1","277789",1,31,1,3.66666666666667,3.42857142857143,2.4,3.66666666666667,3.44444444444444,4,5.875
"70","","SCALE1","270764",2,30,2,4.83333333333333,3.85714285714286,2.6,3.11111111111111,3.66666666666667,4.5,5.9375
"71","","SCALE1","278443",1,50,1,4.33333333333333,4.14285714285714,2.8,3,3.88888888888889,6,6
"72","","SCALE1","294627",1,41,2,3.66666666666667,3.71428571428571,2.5,3.33333333333333,3.55555555555556,3.5,6
"73","","SCALE1","197587",1,35,1,3.83333333333333,3.85714285714286,3,3.33333333333333,4,7,6
"74","","SCALE1","302584",1,42,1,3.83333333333333,4.85714285714286,1.6,3.33333333333333,3.55555555555556,8.5,6
"75","","SCALE1","268702",1,33,1,4.66666666666667,4.57142857142857,2.4,3.55555555555556,3.55555555555556,8.5,6
"76","","SCALE1","273585",1,39,1,4.16666666666667,2.85714285714286,2.4,3.77777777777778,3.88888888888889,8,6
"77","","SCALE1","270801",1,29,1,4.66666666666667,4.14285714285714,2.6,4,1.25,7.5,6
"78","","SCALE1","301425",1,50,1,4.5,3.71428571428571,2.44444444444444,2.88888888888889,3.66666666666667,7,6.11111111111111
"79","","SCALE1","268803",1,30,1,4,3.85714285714286,3.5,3.22222222222222,3.66666666666667,8,6.11111111111111
"80","","SCALE1","297609",1,33,1,4,3.57142857142857,3,3.11111111111111,3.33333333333333,6.5,6.125
"81","","SCALE1","290642",1,38,2,4.16666666666667,3.85714285714286,3.3,3.33333333333333,3.75,NA,6.125
"82","","SCALE1","302584",1,40,1,4,4,2.3,3.44444444444444,3.11111111111111,7,6.16666666666667
"83","","SCALE1","275488",1,49,1,3.83333333333333,3.85714285714286,3.3,3.33333333333333,3,5,6.22222222222222
"84","","SCALE1","274665",1,30,2,3.33333333333333,4,2.22222222222222,3.66666666666667,3.66666666666667,1,6.22222222222222
"85","","SCALE1","289823",1,26,2,4.5,3.71428571428571,2.8,3.55555555555556,3.77777777777778,5.5,6.25
"86","","SCALE1","283889",1,24,1,4.5,4.42857142857143,2.7,4.11111111111111,2.11,7.5,6.33333333333333
"87","","SCALE1","293806",1,29,1,3.66666666666667,3.85714285714286,2.9,3.11111111111111,3.44444444444444,8,6.375
"88","","SCALE1","301641",2,38,1,4.16666666666667,3.85714285714286,2.4,3.44444444444444,3.88888888888889,8,6.375
"89","","SCALE1","297689",1,25,1,4.83333333333333,3.42857142857143,3.1,3.11111111111111,4.11111111111111,7.5,6.44444444444444
"90","","SCALE1","294702",1,27,1,3.5,3.57142857142857,2.4,3,3.66666666666667,7.5,6.66666666666667
"91","","SCALE1","294563",1,41,1,4.16666666666667,4,2.4,3.66666666666667,3.66666666666667,7,6.77777777777778
"92","","SCALE1","296789",1,29,1,4.5,3.42857142857143,2.8,3.66666666666667,4.22222222222222,7,6.77777777777778
"93","","SCALE1","291465",1,48,1,4.16666666666667,3.85714285714286,3.7,4.33333333333333,3.33,3.5,6.77777777777778
"94","","SCALE1","281588",2,41,1,3.83333333333333,4.14285714285714,1.9,3.55555555555556,3.44444444444444,7,6.88888888888889
"95","","SCALE1","300685",2,25,1,4,3.85714285714286,2.1,3,2.77777777777778,9,7
"96","","SCALE1","283484",1,47,1,3.66666666666667,3.85714285714286,2.2,3.33333333333333,3.88888888888889,3.5,7
"97","","SCALE1","289720",1,28,1,4.83333333333333,4.28571428571429,2.5,3.77777777777778,4.22222222222222,9,7
"98","","SCALE1","294667",1,26,1,3.83333333333333,3.71428571428571,2.3,3.88888888888889,3.88888888888889,7,7
"99","","SCALE1","269788",1,26,1,4.66666666666667,4.85714285714286,3.4,3.88888888888889,4,8,7
"100","","SCALE1","269582",1,29,1,4.66666666666667,3.71428571428571,3.2,3.44444444444444,3.88888888888889,5.5,7.07142857142857
"101","","SCALE1","299667",1,38,1,4,3.14285714285714,2.9,2.66666666666667,3.22222222222222,7,7.22222222222222
"102","","SCALE1","302806",NA,28,2,4.16666666666667,3.28571428571429,2.66666666666667,3.22222222222222,4.11111111111111,3.5,7.22222222222222
"103","","SCALE1","288624",1,26,1,5,4.42857142857143,3.2,4,4.33333333333333,8.5,7.25
"104","","SCALE1","279788",1,28,1,4.33333333333333,4.57142857142857,2.2,3.77777777777778,4.22222222222222,7,7.33333333333333
"105","","SCALE1","281765",1,32,1,3.66666666666667,3.71428571428571,2.5,3.88888888888889,4.22222222222222,6,7.66666666666667
"106","","SCALE1","294564",1,43,1,3.83333333333333,4.14285714285714,2.3,3.44444444444444,3.44444444444444,7,7.77777777777778
